dataset,scenario,method,round,mean_oui,var_oui,beta_alpha,beta_beta,score_mode
cifar10,cifar10_dirichlet_0.1_extended,fedavg,46,0.2737955729166667,0.0065809567769368,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,47,0.2666666666666666,0.0093796253204345,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,48,0.2518229166666667,0.0060911337534586,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,49,0.2753255208333333,0.0061439911524454,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,50,0.2726236979166667,0.0068518241246541,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,51,0.2617513020833333,0.0065894762674967,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,52,0.28876953125,0.0034390052159627,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,53,0.2644856770833333,0.0088251988093058,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,54,0.2997395833333333,0.0071884632110595,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,55,0.26591796875,0.0083492596944173,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,56,0.2086914062499999,0.0053840001424153,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,57,0.2772135416666667,0.007790191968282,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,58,0.3172526041666667,0.0071263790130615,,,
cifar10,cifar10_dirichlet_0.1_extended,fedavg,59,0.2790364583333333,0.0040394862492879,,,
cifar10,cifar10_dirichlet_0.1_extended,fedoui,0,0.1375651041666666,0.0118636131286621,0.9048803263366468,6.07776816024004,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,1,0.105078125,0.0006664911905924,12.09457991005465,95.69349518042368,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,2,0.1550130208333333,0.0028119087219238,5.251839653424479,17.740395511631814,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,3,0.1279296875,0.0031033277511596,4.6018504586908655,18.61142476150345,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,4,0.1666015625,0.0022788763046264,24.660884478502307,73.79036583723399,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,5,0.1634440104166666,0.0026559511820475,5.381521631247488,22.6626419840066,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,6,0.1755208333333333,0.002717113494873,10.228087556779425,52.22606663607763,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,7,0.1499348958333333,0.0040270566940307,4.436087208349112,28.267680259969755,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,8,0.17333984375,0.0023057222366333,6.79190341444022,43.09984046207904,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,9,0.17587890625,0.0043127377827962,5.768392191917433,34.82840234088979,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,10,0.1725911458333333,0.0028264125188191,3.468180635005474,22.76089595469619,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,11,0.1609049479166666,0.0025619904200236,12.32240438239829,74.75932154980218,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,12,0.1502604166666666,0.0027169227600097,42.53168198206647,208.05774465565543,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,13,0.1558268229166666,0.0017541011174519,5.814188485136634,30.73417866513908,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,14,0.16279296875,0.0011073907216389,13.71076430562119,77.87320600720398,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,15,0.14072265625,0.0037315607070922,4.535539214825039,21.556551549112264,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,16,0.1717122395833333,0.008475923538208,4.609085396863384,17.887117874767245,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,17,0.1646484375,0.0040349165598551,2.9855515478354104,16.73835029076756,beta
cifar10,cifar10_dirichlet_0.1_extended,fedoui,18,0.20517578125,0.005959407488505,5.096196345837771,23.28066639553187,beta
